"Time (s)","Illuminance (lx)"
8.028489603E0,1.084000000E3
8.154222603E0,1.481000000E3
8.271887603E0,1.902000000E3
8.400416603E0,2.327000000E3
8.524067603E0,2.738000000E3
8.643544603E0,2.756000000E3
8.763789603E0,2.785000000E3
8.876212603E0,2.819000000E3
8.993502603E0,2.855000000E3
9.117448603E0,2.879000000E3
9.236068603E0,2.907000000E3
9.352333603E0,2.923000000E3
9.479149603E0,2.927000000E3
9.608992603E0,2.941000000E3
9.737938603E0,2.953000000E3
9.860215603E0,2.953000000E3
9.992493603E0,2.941000000E3
1.011706960E1,2.941000000E3
1.023564160E1,2.949000000E3
1.035181360E1,2.949000000E3
1.046685960E1,2.949000000E3
1.058368360E1,2.937000000E3
1.069840560E1,2.926000000E3
1.079831960E1,2.926000000E3
1.090683460E1,2.922000000E3
1.101148460E1,2.922000000E3
1.113993860E1,2.922000000E3
1.126376160E1,2.925000000E3
1.138800960E1,2.925000000E3
1.151876760E1,2.929000000E3
1.173869960E1,2.929000000E3
1.183867160E1,2.915000000E3
1.195077860E1,2.187000000E3
1.207642860E1,1.456000000E3
1.218686760E1,7.240000000E2
1.231079360E1,4.000000000E0
1.243071960E1,4.000000000E0
1.254759460E1,4.000000000E0
1.266640960E1,4.000000000E0
1.277938860E1,5.000000000E0
1.298290460E1,6.000000000E0
1.309092360E1,7.000000000E0
1.319904160E1,9.500000000E1
1.331888360E1,1.840000000E2
1.343921260E1,2.680000000E2
1.355913960E1,3.460000000E2
1.368230960E1,3.460000000E2
1.379040360E1,3.490000000E2
1.390310260E1,3.510000000E2
1.401179060E1,3.500000000E2
1.413088260E1,3.490000000E2
1.424297860E1,3.480000000E2
1.434672160E1,3.480000000E2
1.445949160E1,3.510000000E2
1.456671360E1,3.540000000E2
1.467948060E1,3.510000000E2
1.487161160E1,3.510000000E2
1.498258060E1,3.540000000E2
1.509732060E1,5.620000000E2
1.520316160E1,7.620000000E2
1.532360160E1,9.510000000E2
1.544741260E1,1.154000000E3
1.555854660E1,1.163000000E3
1.567139360E1,1.168000000E3
1.579591960E1,1.172000000E3
1.601186360E1,1.174000000E3
1.612670060E1,1.184000000E3
1.624355060E1,1.612000000E3
1.636691360E1,2.035000000E3
1.649586960E1,2.453000000E3
1.661586860E1,2.866000000E3
1.673097760E1,2.866000000E3
1.683840260E1,2.866000000E3
1.694644060E1,2.877000000E3
1.705891260E1,2.889000000E3
1.716667060E1,2.901000000E3
1.728313560E1,2.913000000E3
1.739771960E1,2.914000000E3
1.751846760E1,2.914000000E3
1.765578360E1,2.914000000E3
1.777667760E1,2.914000000E3
1.789078060E1,2.910000000E3
1.799868960E1,2.862000000E3
1.811126660E1,2.807000000E3
1.823626160E1,2.743000000E3
1.835650660E1,2.677000000E3
1.848345060E1,2.618000000E3
1.859888860E1,2.483000000E3
1.871093360E1,2.417000000E3
1.883135860E1,2.369000000E3
1.895564160E1,2.343000000E3
1.908340360E1,2.331000000E3
1.920668260E1,2.275000000E3
1.932377760E1,2.326000000E3
1.943842960E1,2.326000000E3
1.954715760E1,2.326000000E3
1.966572360E1,2.283000000E3
1.977859160E1,2.217000000E3
1.989599960E1,2.172000000E3
2.003618760E1,2.156000000E3
2.015047860E1,2.151000000E3
2.026297260E1,2.151000000E3
2.036714660E1,2.151000000E3
2.048644460E1,2.167000000E3
2.059089660E1,2.167000000E3
2.069875660E1,2.182000000E3
2.080715560E1,2.183000000E3
2.092427260E1,2.183000000E3
2.103850760E1,2.187000000E3
2.114810860E1,2.199000000E3
2.127138460E1,2.223000000E3
2.137824660E1,2.244000000E3
2.149029560E1,2.276000000E3
2.160247160E1,2.276000000E3
2.171554660E1,2.276000000E3
2.182692760E1,2.300000000E3
2.201876760E1,2.284000000E3
2.212158160E1,2.253000000E3
2.224047460E1,1.674000000E3
2.235628360E1,1.107000000E3
2.246686460E1,5.530000000E2
2.257521560E1,1.000000000E1
2.269120560E1,9.000000000E0
2.280323060E1,9.000000000E0
2.292295960E1,1.000000000E1
2.304364660E1,1.000000000E1
2.316254860E1,1.000000000E1
2.327869360E1,8.000000000E0
2.337851660E1,8.000000000E0
